School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Blacksmiths Public School,Glenmore Park,Catholic,595,320,275
Blacktown North Public School,Earlwood,Government,656,311,345
Blacktown South Public School,Engadine,Government,379,171,208
Blacktown West Public School,Beverly Hills,Government,534,248,286
Blackville Public School,Five Dock,Government,392,196,196
Blackwell Public School,Forest Lodge,Government,340,160,180
Blairmount Public School,Bexhill,Government,107,45,62
Blakebrook Public School,Sydney,Government,215,97,118
Blakehurst Public School,Bexley,Government,555,269,286
Blandford Public School,Paddington,Government,364,192,172
Blaxcell Street Public School,Bexley,Government,282,137,145
Blaxland East Public School,Gymea Bay,Government,806,388,418
Blaxland Public School,Haberfield,Government,670,338,332
Blayney Public School,Warners Bay,Government,376,183,193
Blessed Sacrament Catholic Primary School,Heathcote,Government,338,176,162
Bletchington Public School,Bidwill,Government,363,177,186
Bligh Park Public School,Hurstville,Government,1234,592,642
Blighty Public School,Bigga,Government,8,2,6
Blue Haven Public School,Hurstville,Government,546,251,295
Blue Hills College,Bilambil,Government,335,163,172
Blue Mountains Grammar School,Leichhardt,Government,343,166,177
Blue Mountains Steiner School,Bilgola Plateau,Government,532,274,258
Boambee Public School,Kensington,Government,453,225,228
Bobin Public School,Bilpin,Government,61,31,30
Bobs Farm Public School,Kingsgrove,Government,466,228,238
Bodalla Public School,Binalong,Government,36,19,17
Bogan Gate Public School,Binda,Government,8,3,5
Bogangar Public School,Kogarah,Government,468,222,246
Boggabilla Central School,Bingara,Government,170,98,72
Boggabri Public School,Kurnell,Government,196,92,104
Bolwarra Public School,Binnaway,Government,53,28,25
Bomaderry Public School,La Perouse,Government,54,22,32
Bombala Public School,Binya,Government,9,5,4
Bonalbo Central School,Malabar,Government,298,152,146
Bondi Beach Public School,Toronto,Government,130,62,68
Bondi Public School,Maroubra,Government,371,171,200
Bongongo Public School,Mascot,Government,367,170,197
Bonnells Bay Public School,Birrong,Government,569,285,284
Bonnet Bay Public School,Matraville,Government,229,100,129
Bonnyrigg Heights Public School,Menai,Government,92,50,42
Bonnyrigg Public School,Miranda,Government,271,118,153
Bonshaw Public School,Black Hill,Government,94,52,42
Bonville Public School,Mortdale,Government,391,193,198
Boolaroo Public School,Black Mountain,Government,22,10,12
