School_Name,Suburb,School_Sector,Total_Enrolments,Girls_Enrolments,Boys_Enrolments
Main Arm Upper Public School,Ivanhoe,Government,25,13,12
Maitland Christian School,Jamberoo,Government,141,70,71
Maitland East Public School,Blacktown,Government,341,156,185
Maitland Public School,Erskine Park,Government,587,274,313
Malabar Public School,Kingswood,Government,324,150,174
Malek Fahd Islamic School,South Penrith,Government,362,159,203
Mallawa Public School,Penrith,Government,135,67,68
Mamre Anglican School,Toongabbie,Government,303,137,166
Mandurama Public School,Baulkham Hills,Government,891,438,453
Manifold Public School,Wentworthville,Government,75,37,38
Manildra Public School,Jennings,Government,11,5,6
Manilla Central School,Whalan,Government,327,148,179
Manly Vale Public School,Jerangle,Government,7,2,5
Manly Village Public School,Blacktown,Government,555,253,302
Manly West Public School,Jerilderie,Government,32,19,13
Mannering Park Public School,Jerrabomberra,Government,942,491,451
Manning Adventist School,Jerrys Plains,Government,35,15,20
Manning Gardens Public School,Tregear,Government,320,129,191
Manning Valley Anglican College,Jesmond,Government,179,91,88
Maraylya Public School,Jewells,Government,374,175,199
Marayong Heights Public School,Lethbridge Park,Government,428,205,223
Marayong Public School,Jiggi,Government,29,14,15
Marayong South Public School,Winston Hills,Government,693,307,386
Maria Regina Catholic Primary School,Wyong,Government,61,25,36
Marie Bashir Public School,Jindabyne,Government,856,396,460
Marion Catholic Primary School,Glenbrook,Government,246,125,121
Marks Point Public School,Jindera,Government,167,74,93
Maronite College of the Holy Family - Parramatta,Mount Riverview,Government,216,108,108
Maroota Public School,Winmalee,Government,350,175,175
Maroubra Bay Public School,The Ponds,Government,926,454,472
Maroubra Junction Public School,Toongabbie,Government,725,363,362
Marra Creek Public School,Stanhope Gardens,Catholic,767,380,387
Marrar Public School,Johns River,Government,11,5,6
Marrickville Public School,Junee,Government,159,89,70
Marrickville West Public School,Whalan,Government,304,158,146
Marsden Park Public School,Junee,Government,99,47,52
Marsden Road Public School,Kahibah,Government,351,155,196
Martindale Public School,Willmot,Government,153,72,81
Martins Creek Public School,Winston Hills,Government,455,224,231
Martins Gully Public School,Werrington,Government,444,223,221
Marton Public School,Kandos,Government,143,79,64
Marulan Public School,Emu Plains,Government,272,129,143
Mary Help of Christians Primary School Sawtell,Kangaloon,Government,29,11,18
Mary Immaculate Catholic Primary School,Shalvey,Government,281,145,136
Mary Immaculate Catholic Primary School,Kangaroo Valley,Government,74,38,36
Mary Immaculate Primary School,Kanwal,Government,614,304,310
Maryland Public School,South Penrith,Government,554,281,273
Masada College,Kapooka,Government,79,52,27
Mascot Public School,Karangi,Government,86,37,49
Mater Dei Catholic Primary School,Shalvey,Government,277,137,140
Mater Dei Primary School,Kariong,Government,559,281,278
Mathoura Public School,Karuah,Government,127,56,71
Matong Public School,Baulkham Hills,Government,1446,702,744
Matraville Public School,Katoomba,Government,281,137,144
Matraville Soldiers Settlement Public School,Kings Langley,Government,683,333,350
Matthew Pearce Public School,St Clair,Government,271,118,153
Mawarra Public School,Kearsley,Government,125,60,65
Mayfield East Public School,Werrington,Government,458,223,235
Mayfield West Public School,Keiraville,Government,350,186,164
Mayrung Public School,Armidale,Government,14,4,10
McAuley Catholic Central School,Cranebrook,Government,555,278,277
McAuley Catholic Primary School,Kellyville Ridge,Government,802,383,419
McCallums Hill Public School,Kelso,Government,275,128,147
Meadow Flat Public School,Port Kembla,Government,115,54,61
Meadowbank Public School,Dean Park,Government,321,158,163
Medlow Public School,Minchinbury,Government,519,259,260
Medowie Christian School,Kempsey,Government,209,111,98
Medowie Public School,Kempsey,Government,139,66,73
Megalong Public School,West Kempsey,Government,396,171,225
Melrose Park Public School,Kendall,Government,229,107,122
Menai Public School,South Windsor,Government,235,119,116
Mendooran Central School,Kentucky,Government,45,18,27
Menindee Central School,Khancoban,Government,26,13,13
Merewether Heights Public School,Kiama,Government,535,242,293
Merewether Public School,Glenmore Park,Government,563,260,303
Meriden School,Killarney Vale,Government,461,224,237
Merimbula Public School,Kinchela,Government,27,12,15
Merriwa Central School,Kellyville,Government,876,412,464
Merrylands East Public School,Ropes Crossing,Government,832,433,399
Merrylands Public School,Kincumber,Government,418,205,213
Metella Road Public School,Singleton,Government,360,189,171
Metford Public School,Kingscliff,Government,618,284,334
Michelago Public School,Kingstown,Government,19,8,11
Middle Dural Public School,Lower Belford,Government,20,12,8
Middle Harbour Public School,Rosehill,Government,718,362,356
Middleton Grange Public School,Kitchener,Government,80,38,42
Middleton Public School,Dapto,Government,220,121,99
Milbrodale Public School,Koorawatha,Government,15,6,9
Miller Public School,Wagga Wagga,Government,453,214,239
Millers Forest Public School,Kootingal,Government,185,81,104
Millfield Public School,Korora,Government,646,333,313
Millthorpe Public School,Kotara,Government,329,160,169
Milperra Public School,Krambach,Government,34,14,20
Milton Public School,Kulnura,Government,38,17,21
Mimosa Public School,Kurri Kurri,Government,633,317,316
Minchinbury Public School,Kyogle,Government,307,159,148
Minimbah Primary School,Ladysmith,Government,26,14,12
Minmi Public School,Laggan,Government,3,1,2
Minnamurra Public School,Laguna,Government,53,26,27
Minto Public School,Lake Albert,Government,526,264,262
Miranda North Public School,Lake Cargelligo,Government,221,114,107
Miranda Public School,Lake Heights,Government,129,63,66
Mitchells Island Public School,Lake Illawarra,Government,216,109,107
Mittagong Public School,Lake Munmorah,Government,437,210,227
MLC School,Lake Wyangan,Government,100,56,44
Moama Anglican Grammar School,Dapto,Government,327,170,157
Moama Public School,Lambton,Government,382,189,193
Modanville Public School,Lansdowne,Government,38,17,21
Mogo Public School,Largs,Government,142,58,84
Molong Central School,Larnook,Government,29,12,17
Mona Vale Public School,Laurieton,Government,204,118,86
Monteagle Public School,Lavington,Government,348,176,172
Montessori East,Lavington,Government,411,202,209
Montgrove College,Lawrence,Government,59,30,29
Moonbi Public School,Leeton,Government,360,163,197
Moorland Public School,Leeville,Government,65,33,32
Moree Christian School,Lennox Head,Government,477,227,250
Moree East Public School,Lightning Ridge,Government,348,169,179
Moree Public School,Wollongong,Government,393,189,204
Morgan Street Public School,Lisarow,Government,256,122,134
Moriah College,Lismore Heights,Government,240,109,131
Morisset Public School,Cessnock,Government,249,126,123
Morpeth Public School,Lismore,Government,273,125,148
Mortdale Public School,South Lismore,Government,245,134,111
Mortlake Public School,Lithgow,Government,388,179,209
Moruya Public School,Lochinvar,Government,168,91,77
Mosman Church of England Preparatory School,Lockhart,Government,85,38,47
Mosman Public School,Long Flat,Government,54,29,25
Moss Vale Public School,Lord Howe Island,Government,42,21,21
Mother Teresa Primary School,Empire Bay,Government,447,235,212
Moulamein Public School,The Entrance,Government,470,244,226
Mount Annan Christian College,Louth,Government,4,0,4
Mount Annan Public School,Lowanna,Government,22,11,11
Mount Austin Public School,Erina,Government,436,225,211
Mount Brown Public School,Lowesdale,Government,21,10,11
Mount Colah Public School,Sandy Hollow,Government,18,9,9
Mount Druitt Public School,Lue,Government,22,10,12
Mount George Public School,Pambula Beach,Catholic,747,404,343
Mount Hunter Public School,Lyndhurst,Government,15,7,8
Mount Hutton Public School,Maitland,Government,419,198,221
Mount Kanwary Public School,Rathmines,Government,347,150,197
Mount Keira Public School,Warnervale,Catholic,1418,718,700
Mount Kembla Public School,Macksville,Government,325,165,160
Mount Kuring-gai Public School,Maclean,Government,172,79,93
Mount Lewis Infants School,Merewether,Government,573,256,317
Mount Ousley Public School,Maimuru,Government,14,8,6
Mount Pleasant Public School,Upper Main Arm,Government,90,40,50
Mount Pritchard East Public School,East Maitland,Government,535,230,305
Mount Pritchard Public School,Maitland,Government,458,238,220
Mount Riverview Public School,Moree,Government,11,7,4
Mount Sinai College,Mandurama,Government,9,5,4
Mount St John Primary School,Bentley,Government,26,9,17
Mount St Patrick Primary School,Manildra,Government,61,21,40
Mount St Thomas Public School,Manilla,Government,265,135,130
Mount Terry Public School,Pelican,Government,65,34,31
Mount Victoria Public School,Martindale,Government,17,11,6
Mount Warrigal Public School,Martins Creek,Government,9,5,4
Mountain View Adventist College,Mayfield East,Government,254,124,130
Mountains Christian College,Mannering Park,Government,216,103,113
Mowbray Public School,Mayfield,Government,362,185,177
Mt Carmel School,Medowie,Government,351,154,197
Mudgee Public School,Taree,Government,148,62,86
Mulbring Public School,Merewether,Government,167,67,100
Mulgoa Public School,Merriwa,Government,238,116,122
Mullaley Public School,Milbrodale,Government,18,10,8
Mullaway Public School,Millers Forest,Government,62,26,36
Mullion Creek Public School,Millfield,Government,80,36,44
Mullumbimby Public School,Avalon Beach,Catholic,123,63,60
Mulwala Public School,Minmi,Government,113,53,60
Mulyan Public School,Morisset,Government,199,100,99
Mumbil Public School,Marks Point,Government,151,76,75
Mumbulla School for Rudolf Steiner Education,Morpeth,Government,232,118,114
Mummulgum Public School,Osterley,Government,34,16,18
Mungindi Central School,Singleton,Government,61,30,31
Murray Farm Public School,Mulbring,Government,57,27,30
Murringo Public School,Murrurundi,Government,55,29,26
Murrumburrah Public School,Nyngan,Government,7,5,2
Murrurundi Public School,Muswellbrook,Government,548,287,261
Murwillumbah East Public School,Marrar,Government,16,6,10
Murwillumbah Public School,Lisarow,Government,400,188,212
Muswellbrook Public School,Salamander Bay,Government,357,178,179
Muswellbrook South Public School,Newcastle,Government,254,115,139
Nabiac Public School,New Lambton,Government,680,322,358
Nambucca Heads Public School,Nords Wharf,Government,160,81,79
Nambucca Valley Christian Community School,Nulkaba,Government,392,186,206
Namoi Valley Christian School,Ourimbah,Government,409,186,223
Nana Glen Public School,Armidale,Government,165,76,89
Nangus Public School,Paterson,Government,122,53,69
Naradhan Public School,Paxton,Government,55,21,34
Narara Public School,Marulan,Government,99,50,49
Nareena Hills Public School,Peats Ridge,Government,20,12,8
Narellan Public School,Bossley Park,Catholic,681,360,321
Narellan Vale Public School,Pelaw Main,Government,195,98,97
Narooma Public School,Eagle Vale,Catholic,440,216,224
Narrabeen Lakes Public School,Pretty Beach,Government,178,87,91
Narrabeen North Public School,Quakers Hill,Catholic,635,343,292
Narrabri Public School,Raymond Terrace,Government,389,180,209
Narrabri West Public School,Maryland,Government,436,216,220
Narrandera East Infants School,Redhead,Government,274,143,131
Narrandera Public School,Salt Ash,Government,87,48,39
Narranga Public School,Seaham,Government,205,110,95
Narraweena Public School,Blakehurst,Catholic,401,202,199
Narromine Christian School,Shortland,Government,233,94,139
Narromine Public School,Mathoura,Government,64,35,29
Narwee Public School,Singleton,Government,456,215,241
Nashdale Public School,Matong,Government,36,17,19
Nazareth Catholic Primary School,Gosford,Government,62,29,33
Nemingha Public School,Stockton,Government,254,112,142
Nepean Christian School,Swansea,Government,227,122,105
Neutral Bay Public School,Tacoma,Government,214,99,115
Neville Public School,Tenambit,Government,335,165,170
New England Girls' School,Teralba,Government,81,33,48
New Lambton Heights Infants School,Terrigal,Government,836,404,432
New Lambton Public School,Deniliquin,Government,27,12,15
New Lambton South Public School,Thornton,Government,702,344,358
New Madinah College,Tumut,Catholic,321,148,173
Newbridge Heights Public School,Tighes Hill,Government,369,164,205
Newcastle East Public School,Rose Bay,Catholic,110,61,49
Newcastle Grammar School,Toronto,Government,175,92,83
Newcastle Waldorf School,Toukley,Government,543,250,293
Newington Public School,Meadow Flat,Government,58,27,31
Newling Public School,Tuggerah,Government,476,229,247
Newport Public School,Vacy,Government,108,53,55
Newrybar Public School,Medlow,Government,17,10,7
Newtown North Public School,Wallsend,Government,275,141,134
Newtown Public School,West Wallsend,Government,234,119,115
Niagara Park Public School,Wangi Wangi,Government,124,62,62
Niangala Public School,Waratah,Government,348,170,178
Nicholson Street Public School,Warners Bay,Government,445,230,215
Nillo Infants School,Weston,Government,196,104,92
Nimbin Central School,Mendooran,Government,127,71,56
Nimmitabel Public School,Wyee,Government,211,101,110
Nords Wharf Public School,Menindee,Government,92,40,52
Norfolk Island Central School,Wyong,Government,472,219,253
Normanhurst Public School,Merewether Heights,Government,340,151,189
Normanhurst West Public School,Wyong Creek,Government,91,41,50
North East Public School of Distance Education,Soldiers Point,Government,323,163,160
North Haven Public School,Merimbula,Government,361,164,197
North Kellyville Public School,Gateshead,Government,201,88,113
North Nowra Public School,New Lambton,Government,484,246,238
North Rocks Public School,Wallsend,Government,516,268,248
North Ryde Public School,Metford,Government,313,140,173
North Star Public School,Muswellbrook,Government,558,253,305
North Sydney Public School,Michelago,Government,38,19,19
North Wagga Public School,Windale,Government,194,89,105
Northbridge Public School,Parkes,Government,202,101,101
Northcross Christian School,Waratah West,Government,89,46,43
Northern Beaches Christian School,Mount Hutton,Government,160,74,86
Northholm Grammar School,Millthorpe,Government,299,139,160
Northlakes Public School,Speers Point,Government,155,61,94
Northmead Public School,Milton,Government,679,324,355
Northside Montessori School,Umina Beach,Government,772,356,416
Norwest Christian College,Minnamurra,Government,399,199,200
Noumea Public School,Point Clare,Government,526,277,249
Nowendoc Public School,Tuggerawong,Government,242,120,122
Nowra Anglican College,Mitchells Island,Government,30,13,17
Nowra Christian School,Hamlyn Terrace,Government,561,286,275
Nowra East Public School,Mittagong,Government,598,279,319
Nowra Hill Public School,Moama,Government,161,90,71
Nowra Public School,Lismore,Government,74,36,38
Nulkaba Public School,Mogo,Government,34,19,15
Nundle Public School,Molong,Government,511,270,241
Nuwarra Public School,Valentine,Government,573,280,293
Nymboida Public School,Monteagle,Government,19,13,6
Nyngan Public School,Moonbi,Government,53,27,26
Oak Flats Public School,Moorland,Government,22,7,15
Oakdale Public School,Moree,Government,148,77,71
Oakhill Drive Public School,Tarro,Government,164,90,74
Oaklands Central School,Moree,Government,571,277,294
Oakville Public School,Broken Hill,Government,308,154,154
Oatlands Public School,Woy Woy,Government,521,251,270
Oatley Public School,Moruya,Government,331,154,177
Oatley West Public School,Wyoming,Government,373,186,187
Oberon Public School,Moss Vale,Government,503,231,272
Ocean Shores Public School,Moulamein,Government,59,31,28
O'Connell Public School,Niagara Park,Government,555,278,277
Old Bar Public School,Woodberry,Government,218,102,116
Old Bonalbo Public School,Mount Austin,Government,235,116,119
Old Guildford Public School,Dapto,Government,388,177,211
OneSchool Global NSW,Singleton Heights,Government,548,276,272
Orama Public School,Wyoming,Government,324,173,151
Oran Park Anglican College,Mount George,Government,22,9,13
Oran Park Public School,Wamberal,Government,727,341,386
Orana Heights Public School,Mount Keira,Government,96,42,54
Orange Anglican Grammar School,Mount Kembla,Government,115,61,54
Orange Christian School,Tanilba Bay,Government,515,243,272
Orange East Public School,Rutherford,Government,939,455,484
Orange Grove Public School,Fairy Meadow,Government,236,109,127
Orange Public School,Medowie,Government,605,294,311
Orara Upper Public School,San Remo,Government,379,169,210
Orchard Hills Public School,Shoal Bay,Government,390,175,215
Otford Public School,Wollongong,Government,344,172,172
Our Lady Help of Christians Catholic Primary School,Albion Park,Government,719,356,363
Our Lady Help of Christians Catholic Primary School,Woongarrah,Government,487,249,238
Our Lady Help of Christians Primary School,Warilla,Government,217,86,131
Our Lady of Dolours Catholic Primary School,Mudgee,Government,677,318,359
Our Lady of Fatima Catholic Primary School,Mullaley,Government,45,17,28
Our Lady of Fatima Catholic Primary School,Mullaway,Government,260,128,132
Our Lady of Good Counsel Catholic Primary School,Mullion Creek,Government,56,24,32
Our Lady of Lourdes Catholic Primary School,Mullumbimby,Government,219,98,121
Our Lady of Lourdes Primary School,Mulwala,Government,59,37,22
Our Lady of Lourdes Primary School,Wallsend,Government,226,117,109
Our Lady of Lourdes Primary School,Cowra,Government,294,145,149
Our Lady of Mount Carmel Catholic Primary School,Scone,Government,419,198,221
Our Lady of Mount Carmel Primary School,Mumbil,Government,12,5,7
Our Lady of Mt Carmel Catholic Primary School Mount Pritchard,Mummulgum,Government,16,7,9
Our Lady of Perpetual Succour Catholic Primary School,Woy Woy,Government,449,207,242
Our Lady of the Angels Primary School,Mungindi,Government,72,39,33
Our Lady of the Annunciation Catholic Primary School,Murringo,Government,44,20,24
Our Lady of the Assumption Catholic Primary School,Murrumburrah,Government,180,88,92
Our Lady of The Nativity Primary School,Murwillumbah,Government,236,117,119
Our Lady of the Rosary Catholic Primary School,Murwillumbah,Government,286,155,131
Our Lady of the Rosary Catholic Primary School,Nabiac,Government,217,98,119
Our Lady of the Rosary Catholic Primary School,Nambucca Heads,Government,307,151,156
Our Lady of the Rosary Catholic Primary School,Nana Glen,Government,143,72,71
Our Lady of the Rosary Catholic Primary School,Nangus,Government,22,13,9
Our Lady of The Rosary Primary School,Wadalba,Government,1593,753,840
Our Lady of The Rosary Primary School,Naradhan,Government,11,4,7
Our Lady of The Rosary Primary School,Figtree,Government,252,128,124
Our Lady of the Sacred Heart Catholic Primary School,Narooma,Government,408,178,230
Our Lady of The Way Primary School,Narrabri,Government,394,193,201
Our Lady of Victories Primary School,Narrabri,Government,330,188,142
Our Lady Queen of Peace Catholic Primary School,Narrandera,Government,247,127,120
Our Lady Queen of Peace Primary School,Coffs Harbour,Government,670,339,331
Our Lady Star of The Sea Catholic Primary School,Narromine,Government,293,143,150
Our Lady Star of the Sea Catholic School,Nashdale,Government,132,50,82
Ourimbah Public School,Shellharbour City,Catholic,379,184,195
Oxford Falls Grammar School,Nemingha,Government,216,113,103
Oxley College,Neville,Government,17,8,9
Oxley Park Public School,Armidale,Government,83,46,37
Oxley Vale Public School,Newrybar,Government,39,24,15
Oyster Bay Public School,Niangala,Government,4,3,1
Pacific Brook Christian School,Nimbin,Government,244,120,124
Pacific Coast Christian School,Nimmitabel,Government,32,20,12
Pacific Hills Christian School,Norfolk Island,Government,281,132,149
Pacific Palms Public School,Ocean Shores,Government,309,152,157
Pacific Valley Christian School,Port Macquarie,Government,287,127,160
Paddington Public School,North Haven,Government,226,115,111
Padstow Heights Public School,North Nowra,Government,211,114,97
Padstow North Public School,Bonville,Government,126,57,69
Padstow Park Public School,North Star,Government,24,11,13
Pagewood Public School,Wagga Wagga,Government,273,122,151
Pal Buddhist School,The Channon,Government,31,11,20
Palinyewah Public School,Nowendoc,Government,2,1,1
Pallamallawa Public School,Boomerang Beach,Government,308,127,181
Palmers Island Public School,Nowra East,Government,359,187,172
Pambula Public School,Nowra,Government,143,75,68
Panania North Public School,Nowra,Government,604,302,302
Panania Public School,Nundle,Government,56,24,32
Parkes Christian School,Nymboida,Government,17,7,10
Parkes East Public School,Nyngan,Government,122,62,60
Parkes Public School,Oak Flats,Government,445,231,214
Parklea Public School,Oaklands,Government,64,33,31
Parkview Public School,Oberon,Government,217,107,110
Parramatta East Public School,O'Connell,Government,65,32,33
Parramatta North Public School,Old Bar,Government,516,249,267
Parramatta Public School,Old Bonalbo,Government,11,5,6
Parramatta West Public School,Thora,Government,28,15,13
Paterson Public School,Dubbo,Government,698,346,352
Paxton Public School,Orange,Government,264,116,148
Peak Hill Central School,Orange,Government,703,336,367
Peakhurst Public School,Upper Orara,Government,31,17,14
Peakhurst South Public School,Otford,Government,54,18,36
Peakhurst West Public School,Rosemeadow,Catholic,243,117,126
Peats Ridge Public School,Epping,Catholic,114,58,56
Pelaw Main Public School,Chatswood,Catholic,314,153,161
Pelican Flat Public School,Forestville,Catholic,385,205,180
Pendle Hill Public School,Earlwood,Catholic,390,216,174
Pennant Hills Public School,Tarro,Catholic,221,119,102
Penrith Anglican College,Seven Hills,Catholic,330,165,165
Penrith Christian School,Baulkham Hills South,Catholic,408,210,198
Penrith Public School,Wentworthville,Catholic,402,210,192
Penrith South Public School,West Pymble,Catholic,128,63,65
Penrose Public School,Goonengerry,Government,40,23,17
Penshurst Public School,Pagewood,Catholic,190,105,85
Penshurst West Public School,South Grafton,Government,630,325,305
Perthville Public School,Lawson,Catholic,105,56,49
Petersham Public School,Wyoming,Catholic,316,147,169
Picnic Point Public School,Shelly Beach,Catholic,471,224,247
Picton Public School,Waitara,Catholic,272,136,136
Picton Public School,Kensington,Catholic,422,214,208
Pilliga Public School,Kellyville,Catholic,492,239,253
Pitt Town Public School,Kellyville,Catholic,492,239,253
Pittwater House Schools,St Marys,Catholic,371,189,182
Plattsburg Public School,Emu Plains,Catholic,375,174,201
PLC Armidale,Shortland,Catholic,108,50,58
Pleasant Heights Public School,Greystanes,Catholic,840,419,421
Pleasant Hills Public School,Terrigal,Catholic,563,254,309
Plumpton Public School,Miranda,Catholic,441,203,238
Plunkett Street Public School,Tamworth,Government,343,176,167
Point Clare Public School,Upper Lansdowne,Government,13,3,10
Pomona Public School,Ellerslie,Government,12,8,4
Pooncarie Public School,Pallamallawa,Government,26,12,14
Port Kembla Public School,Pambula,Government,343,158,185
Port Macquarie Adventist School,Parkes,Government,344,167,177
Port Macquarie Public School,Parkes,Government,426,209,217
Port Macquarie Steiner School,Leeton,Government,409,216,193
Portland Central School,Peak Hill,Government,121,59,62
Pottsville Beach Public School,Palmers Island,Government,48,21,27
Prairievale Public School,Wooli,Government,59,26,33
Presbyterian Ladies' College Sydney,The Pocket,Government,79,41,38
Prestons Public School,Port Macquarie,Government,434,197,237
Pretty Beach Public School,Raleigh,Government,24,10,14
Primbee Public School,Rappville,Government,10,3,7
Prouille Catholic Primary School,Repton,Government,59,25,34
Punchbowl Public School,The Risk,Government,31,12,19
Putney Public School,Whian Whian,Government,9,2,7
Pymble Ladies' College,Rollands Plains,Government,37,11,26
Pymble Public School,Rosebank,Government,36,14,22
Quaama Public School,Penrose,Government,13,7,6
Quakers Hill East Public School,Alstonville,Government,85,34,51
Quakers Hill Public School,Rukenvale,Government,4,0,4
Quambone Public School,Sawtell,Government,355,183,172
Quandialla Public School,Perthville,Government,140,71,69
Queanbeyan East Public School,Smithtown,Government,67,33,34
Queanbeyan Public School,South West Rocks,Government,334,170,164
Queanbeyan South Public School,Stokers Siding,Government,13,5,8
Queanbeyan West Public School,Stratford,Government,9,2,7
Queenwood,Stratheden,Government,24,12,12
Quirindi Public School,Pilliga,Government,15,8,7
Raglan Public School,Stroud,Government,69,38,31
Railway Town Public School,Stroud Road,Government,13,6,7
Rainbow Ridge School for Steiner Education,Tabulam,Government,40,19,21
Rainbow Street Public School,Taree,Government,72,32,40
Raleigh Public School,Mount Pleasant,Government,263,132,131
Ramsgate Public School,Tea Gardens,Government,186,84,102
Rand Public School,Pleasant Hills,Government,24,11,13
Randwick Public School,Telegraph Point,Government,125,60,65
Rankins Springs Public School,Terranora,Government,418,198,220
Rappville Public School,Tinonee,Government,163,73,90
Rathmines Public School,Pomona,Government,25,9,16
Ravenswood School for Girls,Tregeagle,Government,123,73,50
Raymond Terrace Public School,Pooncarie,Government,5,4,1
Red Hill Public School,Tucabia,Government,40,17,23
Red Range Public School,Port Kembla,Government,281,148,133
Reddam House,Tumbulgum,Government,32,15,17
Redeemer Baptist School,Tuntable Creek,Government,8,7,1
Redfield College,Tweed Heads,Government,286,137,149
Redhead Public School,Tyalgum,Government,40,14,26
Regents Park Christian School,Portland,Government,106,47,59
Regents Park Public School,Uki,Government,154,82,72
Regentville Public School,Pottsville,Government,635,307,328
Regina Coeli Catholic Primary School,Ulmarra,Government,61,28,33
Repton Public School,Ulong,Government,15,8,7
Revesby Public School,Urbenville,Government,12,7,5
Revesby South Public School,Urunga,Government,222,122,100
Richard Johnson Anglican School,Wardell,Government,33,9,24
Richmond Christian College,Primbee,Government,141,66,75
Richmond North Public School,Wauchope,Government,691,345,346
Richmond Public School,Wahroonga,Catholic,203,98,105
Ringrose Public School,Wiangaree,Government,25,8,17
Rissalah College,Willawarrin,Government,31,19,12
Riverbank Public School,Mullumbimby,Government,17,10,7
Riverstone Public School,Wollongbar,Government,307,145,162
Riverwood Public School,Woodburn,Government,144,62,82
Robert Townson Public School,Quaama,Government,54,29,25
Robertson Public School,Woodenbong,Government,190,93,97
Rockdale Public School,Woolgoolga,Government,387,183,204
Rockley Public School,Wyrallah,Government,25,15,10
Rocky River Public School,Quambone,Government,13,6,7
Rollands Plains Upper Public School,Yamba,Government,317,143,174
Rooty Hill Public School,Quandialla,Government,21,15,6
Ropes Crossing Public School,Queanbeyan,Government,260,114,146
Rosary Park Catholic School,Scotts Head,Government,105,45,60
Rose Bay Public School,Queanbeyan,Government,673,329,344
Rosebank Public School,Queanbeyan,Government,402,171,231
Rosehill Public School,Stuarts Point,Government,57,35,22
Roselea Public School,Queanbeyan,Government,459,210,249
Rosemeadow Public School,Upper Coopers Creek,Government,11,1,10
Roseville College,Quirindi,Government,307,166,141
Roseville Public School,Lismore,Government,524,287,237
Rosewood Public School,Raglan,Government,261,134,127
Ross Hill Public School,Taree,Government,511,263,248
Rossmore Public School,Broken Hill,Government,120,54,66
Rous Public School,Rand,Government,27,15,12
Rouse Hill Anglican College,Tweed Heads South,Government,204,99,105
Rouse Hill Public School,Rankins Springs,Government,27,12,15
Rowena Public School,Port Macquarie,Government,399,197,202
Rozelle Public School,Red Range,Government,42,15,27
Rukenvale Public School,East Ballina,Government,384,171,213
Ruse Public School,Coffs Harbour,Government,314,162,152
Russell Lea Public School,Toormina,Government,255,111,144
Russell Vale Public School,Tuncurry,Government,384,196,188
Rutherford Public School,Beverly Hills,Catholic,478,247,231
Rydalmere East Public School,Sandy Beach,Government,346,169,177
Rydalmere Public School,Wingham,Government,200,100,100
Ryde East Public School,Tintenbar,Government,199,108,91
Ryde Public School,Sawtell,Government,202,103,99
Rye Park Public School,Port Macquarie,Government,732,351,381
Rylstone Public School,Grafton,Government,509,227,282
Sackville Street Public School,Robertson,Government,122,55,67
Sacred Heart Catholic Primary School,Rockley,Government,15,6,9
Sacred Heart Catholic Primary School,Uralla,Government,35,21,14
Sacred Heart Catholic Primary School,Wingham,Government,306,159,147
Sacred Heart Catholic Primary School,Rosewood,Government,16,6,10
Sacred Heart Catholic Primary School,Inverell,Government,604,309,295
Sacred Heart Catholic Primary School,Rowena,Government,20,7,13
Sacred Heart Catholic School,Russell Vale,Government,286,136,150
Sacred Heart Central School,Rye Park,Government,8,4,4
Sacred Heart Parish School,Rylstone,Government,69,31,38
Sacred Heart Primary School,Mosman,Catholic,394,206,188
Sacred Heart Primary School,Mona Vale,Catholic,357,186,171
Sacred Heart Primary School,Mona Vale,Catholic,357,186,171
Sacred Heart Primary School,Westmead,Catholic,198,93,105
Sacred Heart Primary School,Mt Druitt South,Catholic,323,165,158
Sadleir Public School,Timbumburi,Government,172,79,93
Saint Mary MacKillop College Albury,Sanctuary Point,Government,463,234,229
Saint Mary MacKillop Colleges Limited,Armidale,Government,251,117,134
Saints Peter and Paul's Primary School,Savernake,Government,5,4,1
Salamah College,Scarborough,Government,62,28,34
Salt Ash Public School,Broken Hill,Government,130,60,70
Samuel Gilbert Public School,Shell Cove,Government,535,256,279
Samuel Terry Public School,Shellharbour,Government,487,213,274
Sanctuary Point Public School,Shoalhaven Heads,Government,177,86,91
Sandon Public School,Somerton,Government,33,13,20
Sandy Beach Public School,Wagga Wagga,Government,332,161,171
Sandy Hollow Public School,Spring Hill,Government,46,28,18
Sans Souci Public School,Spring Ridge,Government,29,10,19
Santa Sabina College,Spring Terrace,Government,35,13,22
Santa Sophia Catholic College (Primary),Lavington,Government,173,83,90
Sapphire Coast Anglican College,Tambar Springs,Government,5,3,2
Sarah Redfern Public School,Kiama,Catholic,264,105,159
Sathya Sai College,Tamworth,Government,914,466,448
Savernake Public School,Pennant Hills,Catholic,292,157,135
Sawtell Public School,West Tamworth,Government,385,187,198
Scarborough Public School,Tenterfield,Government,215,103,112
SCECGS Redlands,Rooty Hill,Catholic,409,207,202
SCEGGS Darlinghurst,Tingha,Government,42,17,25
Schofields Public School,Cronulla,Catholic,183,96,87
School Name,Kootingal,Government,81,38,43
School of the Air,Boggabilla,Government,42,23,19
Scone Grammar School,Walcha,Government,267,135,132
Scone Public School,Caroona,Government,22,13,9
Scots All Saints College,Malabar,Catholic,385,204,181
Scotts Head Public School,Wallabadah,Government,30,12,18
Seaforth Public School,Warialda,Government,207,84,123
Seaham Public School,Wee Waa,Government,134,65,69
Sefton Infants School,Castle Hill,Catholic,602,308,294
