Suburb,Year,Average
Guildford,2011,93.15
Guildford West,2011,87.7
Gulargambone,2011,95.4
Gulgong,2011,93.8
Gulmarrad,2011,95.6
Gundagai,2011,95.1
Gundaroo,2011,90.4
Gunnedah,2011,95.3
Gunning,2011,90.3
Guyra,2011,83.2
Gwandalan,2011,93.7
Gwynneville,2011,95.1
Gymea,2011,94.55
Gymea Bay,2011,96
Haberfield,2011,91.8
Hamilton,2011,92.2
Hammondville,2011,93.3
Hanwood,2011,96.2
Harrington,2011,93.9
Harrington Park,2011,94.5
Harwood,2011,94.8
Hazelbrook,2011,92.8
Hebersham,2011,96
Helensburgh,2011,94.85
Henty,2011,92
Hillston,2011,95.8
Hinchinbrook,2011,94.1
Hinton,2011,93.8
Hobartville,2011,96.4
Holbrook,2011,91.65
Holgate,2011,93
Holsworthy,2011,94.7
Homebush,2011,90.2
Homebush West,2011,94.1
Hornsby,2011,93.6
Horsley,2011,95.4
Howlong,2011,91.1
Hoxton Park,2011,94.35
Hunters Hill,2011,95.65
Hurstville,2011,93.26666667
Illawong,2011,96.5
Iluka,2011,93
Ingleburn,2011,94.43333333
Inverell,2011,94.8
Islington,2011,94.7
Jannali,2011,93.75
Jerilderie,2011,94.8
Jerrabomberra,2011,95
Jewells,2011,94.5
Jindabyne,2011,93.9
Jindera,2011,94.35
Junee,2011,94.2
Kahibah,2011,94.2
Kanahooka,2011,93.5
Kandos,2011,95.4
Karangi,2011,94
Kareela,2011,91
Karuah,2011,94.8
Katoomba,2011,93.36666667
Kearsley,2011,94.7
Keiraville,2011,93
Kellyville,2011,92.5
Kelso,2011,95.4
Kempsey,2011,94.4
Kendall,2011,95.4
Kensington,2011,93.95
Kenthurst,2011,92.4
Kiama,2011,94.45
Killara,2011,93.9
Killarney Heights,2011,92.7
Killarney Vale,2011,88.2
Kincumber,2011,94.9
Kings Langley,2011,94.2
Kingscliff,2011,91.1
Kingsgrove,2011,91.7
Kingswood,2011,94.35
Kirrawee,2011,93.4
Kirribilli,2011,93.6
Kitchener,2011,92
Kogarah,2011,92.3
Kooringal,2011,96.7
Kootingal,2011,92.5
Korora,2011,92.8
Kotara,2011,94.7
Kulnura,2011,93.3
Kurnell,2011,93.7
Kurrajong,2011,94.7
Kurrajong Hills,2011,95.9
Kurri Kurri,2011,96.1
Kyogle,2011,93.5
Laguna,2011,94.1
Lake Albert,2011,95.1
Lake Cargelligo,2011,93.7
Lake Cathie,2011,95.7
Lake Heights,2011,94.8
Lake Illawarra,2011,95.7
Lake Munmorah,2011,94.1
Lalor Park,2011,95.1
Lambton,2011,94.9
Lane Cove,2011,95.6
Largs,2011,87
Laurieton,2011,95.2
Lavington,2011,93.66666667
Lawson,2011,92.65
Leeton,2011,92.5
Leeville,2011,94
Leichhardt,2011,94.25
Lethbridge Park,2011,93.2
Leumeah,2011,94
Leura,2011,91.5
Lewisham,2011,96.1
Lidcombe,2011,94.3
Lightning Ridge,2011,79.4
Lilli Pilli,2011,95.6
Lindfield,2011,94.9
Lisarow,2011,93.65
Lismore,2011,94.875
Lithgow,2011,96.85
Liverpool,2011,94.85
Lochinvar,2011,92.3
Londonderry,2011,93.4
Long Flat,2011,96.6
Luddenham,2011,93.35
Lugarno,2011,88.5
Lurnea,2011,94.8
Macksville,2011,94.4
Maclean,2011,96.1
Macquarie Fields,2011,91.8
Maitland,2011,93.95
Malabar,2011,87.55
Manilla,2011,95.5
Manly,2011,92.4
Manly Vale,2011,95.95
Maraylya,2011,93.8
Marks Point,2011,90.7
Maroubra,2011,94.15
Marrickville,2011,91.525
Marsden Park,2011,95
Marulan,2011,93.8
Maryland,2011,93.75
Mascot,2011,92.2
Mathoura,2011,93.4
Matraville,2011,93.65
Mayfield,2011,93.8
Meadow Flat,2011,95.7
Meadowbank,2011,92.6
Medowie,2011,88.85
Menai,2011,94.3
Mendooran,2011,85
Menindee,2011,94
Merewether,2011,95.3
Merewether Beach,2011,95.5
Merewether Heights,2011,95.1
Merimbula,2011,92.8
Merriwa,2011,94.05
Merrylands,2011,93.15
Metford,2011,95.05
Middleton Grange,2011,94.6
Millers Forest,2011,93
Millfield,2011,94.9
Milperra,2011,95.4
Milton,2011,95.3
Minchinbury,2011,94
Minmi,2011,94.8
Minto,2011,94.73333333
Miranda,2011,93.63333333
Mittagong,2011,89.7
Moama,2011,92.4
Molong,2011,94.9
Mona Vale,2011,91.6
Moorebank,2011,94.6
Moree,2011,91.125
Morisset,2011,92.3
Mortdale,2011,94.9
Moruya,2011,96.2
Mosman,2011,93.8
Moss Vale,2011,93.3
Moulamein,2011,92.3
Mount Annan,2011,92.3
Mount Austin,2011,95
Mount Colah,2011,91.9
Mount Druitt,2011,92.94
Mount Keira,2011,94.4
Mount Kuring-Gai,2011,94.6
Mount Pleasant,2011,95.1
Mount Pritchard,2011,96.5
Mount Victoria,2011,91.8
Mudgee,2011,95.2
Mulbring,2011,96.1
Mungindi,2011,93.4
Murwillumbah,2011,89.8
Muswellbrook,2011,92.7
Narellan Vale,2011,95.3
Narrabeen,2011,92.8
Narrabri,2011,95.2
Narrandera,2011,95.2
Narromine,2011,93.8
Narwee,2011,94.4
Neutral Bay,2011,95.6
New Lambton,2011,93.25
Newcastle,2011,90.1
Newington,2011,96.3
Newtown,2011,94.13333333
Niagara Park,2011,93.7
Nords Wharf,2011,93
Normanhurst,2011,94.6
North Albury,2011,91.2
North Balgowlah,2011,94.9
North Casino,2011,93.9
North Curl Curl,2011,94.5
North Epping,2011,94.8
North Haven,2011,96.2
North Kellyville,2011,87.3
North Narrabeen,2011,93.2
North Nowra,2011,94.45
North Parramatta,2011,91.3
North Richmond,2011,94.2
North Rocks,2011,93.2
North Ryde,2011,93.525
North St Marys,2011,94.1
North Strathfield,2011,90.05
North Sydney,2011,96
North Turramurra,2011,95
Northbridge,2011,94.4
Northmead,2011,95.4
Nowra East,2011,93.4
Nundle,2011,95.9
Nyngan,2011,93.8
Oak Flats,2011,92.1
Oakdale,2011,94.1
Oakhurst,2011,95.9
Oakville,2011,94.4
Oatley,2011,92.2
Oberon,2011,91.9
Ocean Shores,2011,92.3
O'Connell,2011,95.6
Old Bar,2011,95.6
Oran Park,2011,93.16666667
Orange,2011,93.25555556
Orchard Hills,2011,89.325
Otford,2011,95.3
Oyster Bay,2011,92.3
Paddington,2011,93.8
Padstow,2011,92.3
Pagewood,2011,96.2
Pambula,2011,93.7
Pambula Beach,2011,92.2
Panania,2011,95
Parkes,2011,95.16666667
Parramatta,2011,94.7
Paterson,2011,96.2
Paxton,2011,94
Peak Hill,2011,89.3
Peakhurst,2011,93.45
Pelaw Main,2011,94.3
Pelican,2011,93.6
Pennant Hills,2011,95.3
Penrith,2011,93.93333333
Penshurst,2011,93
Perthville,2011,92
Petersham,2011,92.2
Picton,2011,93.76666667
Pitt Town,2011,96.1
Plumpton,2011,94.9
Point Clare,2011,92
Port Kembla,2011,93.35
Port Macquarie,2011,94.14
Potts Point,2011,94.5
Pottsville,2011,94.7
Prestons,2011,92.1
Pretty Beach,2011,95.4
Prospect,2011,88.8
Punchbowl,2011,93.4
Pymble,2011,93.325
Quakers Hill,2011,94.75
Queanbeyan,2011,94.98
Quirindi,2011,91.8
Raglan,2011,93.3
Ramsgate,2011,89.1
Randwick,2011,91.55
Rathmines,2011,96.7
Raymond Terrace,2011,94.33333333
Redhead,2011,92
Regents Park,2011,94.3
Regentville,2011,94
Revesby,2011,88.75
Richmond,2011,94.5
Riverstone,2011,94.3
Riverwood,2011,94.95
Robertson,2011,93.5
Rockdale,2011,88.4
Rooty Hill,2011,92.7
Ropes Crossing,2011,95
Rose Bay,2011,92.25
Rosebank,2011,96.2
Rosebery,2011,94.9
Rosehill,2011,97
Roselands,2011,90.2
Rosemeadow,2011,94.6
Roseville,2011,91.95
