Suburb,Year,Average
Jannali,2016,93.75
Jerilderie,2016,94.7
Jerrabomberra,2016,91.6
Jewells,2016,92.8
Jindabyne,2016,94.3
Jindera,2016,94.85
Junee,2016,93.96666667
Kahibah,2016,93.6
Kanahooka,2016,93.6
Kandos,2016,96.3
Karangi,2016,95.2
Kareela,2016,93.9
Karuah,2016,92.7
Katoomba,2016,92.66666667
Kearsley,2016,94.1
Keiraville,2016,94.7
Kellyville,2016,93.08333333
Kelso,2016,92.9
Kempsey,2016,93.9
Kendall,2016,95.6
Kensington,2016,93.9
Kenthurst,2016,94.9
Kiama,2016,93
Killara,2016,95.85
Killarney Heights,2016,93.6
Killarney Vale,2016,91
Kincumber,2016,94.3
Kings Langley,2016,90.9
Kingscliff,2016,91.3
Kingsgrove,2016,92.45
Kingswood,2016,94.15
Kirrawee,2016,91.8
Kirribilli,2016,95.7
Kitchener,2016,93.1
Kogarah,2016,93.3
Kooringal,2016,91.2
Kootingal,2016,91.9
Korora,2016,92.2
Kotara,2016,94.6
Kulnura,2016,92.3
Kurnell,2016,91.5
Kurrajong,2016,94.375
Kurrajong Hills,2016,95.2
Kurri Kurri,2016,95.4
Kyogle,2016,92.9
Laguna,2016,94.1
Lake Albert,2016,90.1
Lake Cargelligo,2016,94.1
Lake Cathie,2016,91.2
Lake Heights,2016,94.5
Lake Illawarra,2016,93.6
Lake Munmorah,2016,93.2
Lakemba,2016,92.15
Lalor Park,2016,94.7
Lambton,2016,89.7
Lane Cove,2016,94.53333333
Largs,2016,80.1
Laurieton,2016,95.1
Lavington,2016,94.2
Lawson,2016,93.2
Leeton,2016,93.6
Leeville,2016,92.6
Leichhardt,2016,94
Lethbridge Park,2016,92.7
Leumeah,2016,93.7
Leura,2016,89.8
Lewisham,2016,96.4
Lidcombe,2016,94.6
Lightning Ridge,2016,77.2
Lilli Pilli,2016,92.9
Lindfield,2016,95.26666667
Lisarow,2016,92.95
Lismore,2016,94.225
Lithgow,2016,95.4
Liverpool,2016,94.75
Lochinvar,2016,91.2
Londonderry,2016,93.9
Long Flat,2016,95.6
Luddenham,2016,93.15
Lugarno,2016,88.9
Lurnea,2016,94
Macksville,2016,94.6
Maclean,2016,92.3
Macquarie Fields,2016,93.1
Maitland,2016,92.55
Malabar,2016,86.9
Manilla,2016,94.6
Manly,2016,91.7
Manly Vale,2016,95.15
Maraylya,2016,93.5
Marks Point,2016,96.4
Maroubra,2016,92.65
Marrickville,2016,91.075
Marsden Park,2016,95.9
Marulan,2016,94.1
Maryland,2016,93.4
Mascot,2016,97.2
Mathoura,2016,91.8
Matraville,2016,93.55
Mayfield,2016,94.63333333
Meadow Flat,2016,95.4
Meadowbank,2016,87.8
Medowie,2016,91.05
Menai,2016,93.7
Mendooran,2016,86.5
Menindee,2016,94.4
Merewether,2016,93.6
Merewether Beach,2016,95
Merewether Heights,2016,95.8
Merimbula,2016,92.6
Merriwa,2016,93.35
Merrylands,2016,92.7
Metford,2016,95.1
Middleton Grange,2016,95.7
Millers Forest,2016,92.4
Millfield,2016,94.8
Milperra,2016,93.2
Milton,2016,94.5
Minchinbury,2016,94.7
Minmi,2016,92.1
Minto,2016,94.06666667
Miranda,2016,94.03333333
Mittagong,2016,88.3
Moama,2016,93.25
Molong,2016,93.1
Mona Vale,2016,92
Moorebank,2016,93.9
Moree,2016,93.05
Morisset,2016,93.6
Mortdale,2016,94.8
Moruya,2016,96.4
Mosman,2016,93.425
Moss Vale,2016,91.2
Moulamein,2016,92.3
Mount Annan,2016,94.5
Mount Austin,2016,90.2
Mount Colah,2016,92.8
Mount Druitt,2016,91.76
Mount Keira,2016,93.7
Mount Kuring-Gai,2016,94.3
Mount Pleasant,2016,94
Mount Pritchard,2016,96.8
Mount Victoria,2016,92.5
Mudgee,2016,95.6
Mulbring,2016,96.4
Mungindi,2016,93.2
Murwillumbah,2016,88.7
Muswellbrook,2016,92.4
Narellan Vale,2016,95.2
Narrabeen,2016,93
Narrabri,2016,94
Narrandera,2016,95
Narromine,2016,91.9
Narwee,2016,92.8
Neutral Bay,2016,96.2
New Lambton,2016,93.25
Newcastle,2016,88.4
Newington,2016,94.1
Newtown,2016,92.6
Niagara Park,2016,96.2
Nords Wharf,2016,92.6
Normanhurst,2016,93.6
North Albury,2016,91
North Balgowlah,2016,94.9
North Casino,2016,93.5
North Curl Curl,2016,95.3
North Epping,2016,94
North Haven,2016,95.7
North Kellyville,2016,86.6
North Narrabeen,2016,93
North Nowra,2016,93.65
North Parramatta,2016,91.88
North Richmond,2016,92.9
North Rocks,2016,94.1
North Ryde,2016,94.05
North St Marys,2016,92
North Strathfield,2016,90.8
North Sydney,2016,94.4
North Turramurra,2016,94.5
Northbridge,2016,94.3
Northmead,2016,94
Nowra,2016,94.63333333
Nowra East,2016,92.4
Nundle,2016,95.3
Nyngan,2016,93.2
Oak Flats,2016,92.7
Oakdale,2016,93.8
Oakhurst,2016,95.4
Oakville,2016,94.2
Oatley,2016,92.15
Oberon,2016,92.6
Ocean Shores,2016,91.1
O'Connell,2016,93.6
Old Bar,2016,94.3
Oran Park,2016,91.66666667
Orange,2016,92.48888889
Orchard Hills,2016,89.225
Otford,2016,95.3
Oyster Bay,2016,91.6
Paddington,2016,91.25
Padstow,2016,91.6
Pagewood,2016,95.3
Pambula,2016,93.8
Pambula Beach,2016,89.2
Panania,2016,93.9
Parkes,2016,93.16666667
Parramatta,2016,93.8
Paterson,2016,91.5
Paxton,2016,91.2
Peak Hill,2016,87.5
Peakhurst,2016,93.7
Pelaw Main,2016,93.3
Pelican,2016,94.5
Pennant Hills,2016,94.4
Penshurst,2016,94.5
Perthville,2016,92
Petersham,2016,93.1
Picton,2016,93.9
Pitt Town,2016,96.3
Plumpton,2016,91.95
Point Clare,2016,91.6
Port Kembla,2016,92.2
Port Macquarie,2016,93.78
Potts Point,2016,93.4
Pottsville,2016,94.1
Prestons,2016,93.56666667
Pretty Beach,2016,93.8
Prospect,2016,90.2
Punchbowl,2016,92.5
Pymble,2016,91.675
Quakers Hill,2016,94.975
Queanbeyan,2016,94.16
Quirindi,2016,88.4
Raglan,2016,91.9
Ramsgate,2016,88.3
Randwick,2016,93.75
Rathmines,2016,94.9
Raymond Terrace,2016,93.63333333
Redhead,2016,91.9
Regents Park,2016,92.6
Regentville,2016,93.8
Revesby,2016,91.85
Richmond,2016,93.4
Riverstone,2016,94.75
Riverwood,2016,95
Robertson,2016,92.6
Rockdale,2016,91.9
Rooty Hill,2016,93.4
Ropes Crossing,2016,92
Rose Bay,2016,92.625
Rosebank,2016,95.8
Rosebery,2016,94.2
Rosehill,2016,95.5
Roselands,2016,92.7
Rosemeadow,2016,94.4
Roseville,2016,91.5
Rossmore,2016,94.3
Rouse Hill,2016,93.03333333
Rozelle,2016,92.4
Ruse,2016,94.5
Rutherford,2016,93.3
Rydalmere,2016,95.9
Ryde,2016,93
Salamander Bay,2016,93.9
Salt Ash,2016,90.9
San Remo,2016,95
Sandy Beach,2016,92.9
Sans Souci,2016,94.8
Sawtell,2016,94.25
Schofields,2016,92.7
Seaforth,2016,92.6
Seaham,2016,93.1
Seven Hills,2016,92.45
Shell Cove,2016,95.8
Shellharbour,2016,93.1
Shellharbour City,2016,95
Shelly Beach,2016,96.1
Shoal Bay,2016,93.8
Shoalhaven Heads,2016,93.2
Singleton,2016,92
Smithfield,2016,94.6
Smithtown,2016,91.8
South Coogee,2016,93.8
South Grafton,2016,94.95
South Gundagai,2016,92.4
South Hurstville,2016,88.6
South Lismore,2016,95
South Penrith,2016,94.2
South Tamworth,2016,93.9
South West Rocks,2016,94
South Windsor,2016,91.15
Speers Point,2016,91.7
Spring Farm,2016,92.6
Springfield,2016,94
Springwood,2016,94.65
St Andrews,2016,95.6
St Clair,2016,93.28
St Helens Park,2016,91.8
St Ives,2016,94.48
St Johns Park,2016,93.9
St Marys,2016,91.93333333
St Peters,2016,93.6
Stanmore,2016,93.7
Stockton,2016,94.9
Strathfield,2016,92.5
Stroud,2016,95.3
Stuarts Point,2016,94.7
Summer Hill,2016,93
Surfside,2016,95.1
Surry Hills,2016,94.45
Sutherland,2016,91.5
Swansea,2016,90.7
Sydney,2016,92.2
Sylvania,2016,89.3
Tacoma,2016,94.6
Tahmoor,2016,94.85
Tamworth,2016,91.5
Taree,2016,92
Tarro,2016,95.3
Telegraph Point,2016,95.8
Temora,2016,92.3
Tempe,2016,93.2
Tenambit,2016,95
Tenterfield,2016,94.65
Terranora,2016,94.1
Terrey Hills,2016,94.95
Terrigal,2016,94.5
The Entrance,2016,92.5
The Ponds,2016,91.8
Thirlmere,2016,92.6
Thirroul,2016,95.8
Thornleigh,2016,94.2
Thornton,2016,95
Thurgoona,2016,95.1
Tighes Hill,2016,94.9
Timbumburi,2016,93.2
Tinonee,2016,92.8
Tintenbar,2016,95.1
Toongabbie,2016,93.96666667
Toormina,2016,96.3
Toronto,2016,96.9
Townsend,2016,94.3
Tregear,2016,84.9
Tuggerah,2016,90.9
Tumbarumba,2016,94.8
Tumbi Umbi,2016,93.9
Tuncurry,2016,94.1
Turramurra,2016,89.45
Tweed Heads South,2016,90.1
Uki,2016,93.3
Ultimo,2016,93.5
Unanderra,2016,86.3
Upper Main Arm,2016,94.2
Uralla,2016,92.5
Urunga,2016,94.8
Vacy,2016,94.3
Valentine,2016,92.6
Vaucluse,2016,95.1
Villawood,2016,93.6
Wadeville,2016,93.7
Wagga Wagga,2016,92.38333333
Wahroonga,2016,91.08
Waitara,2016,93.5
Wallacia,2016,86.6
Wallsend,2016,94.8
Wangi Wangi,2016,94.4
Warialda,2016,92.63333333
Warners Bay,2016,93.9
Warnervale,2016,94.4
Warrimoo,2016,94.95
Warwick Farm,2016,93.9
Wattle Grove,2016,94.4
Wauchope,2016,93.63333333
Waverley,2016,92.03333333
Wee Waa,2016,91.5
Wentworth Falls,2016,96.05
Wentworthville,2016,92.125
Werrington,2016,93.3
Werris Creek,2016,95.1
West Gosford,2016,92
West Kempsey,2016,95.5
West Pymble,2016,95.25
West Tamworth,2016,93.15
West Wallsend,2016,96.2
Westdale,2016,92.5
Westmead,2016,93.93333333
Weston,2016,92.6
Wetherill Park,2016,95.2
Whalan,2016,90.6
Wilberforce,2016,96.8
Wiley Park,2016,92.7
Willmot,2016,96.2
Willoughby,2016,96.3
Wilton,2016,93
Windale,2016,93.7
Wingham,2016,94.1
Winmalee,2016,94.5
Winston Hills,2016,94.55
Wollongbar,2016,91.1
Wollongong,2016,92.6
Wollongong West,2016,95.1
Woodberry,2016,93.5
Woodburn,2016,92.7
Woodenbong,2016,94.6
Woolgoolga,2016,93.2
Wooli,2016,93.9
Woollahra,2016,93.43333333
Woronora,2016,96.9
Woy Woy,2016,93.1
Wyee,2016,90.9
Wyoming,2016,94.26666667
Wyong,2016,93.4
Wyong Creek,2016,95.7
Yagoona,2016,94.4
Yamba,2016,94.4
Yass,2016,95.4
Yennora,2016,92.6
Young,2016,88.4
Yowie Bay,2016,95.7
Abbotsford,2017,94.1
Aberdeen,2017,92.8
Abermain,2017,93
Adamstown,2017,93.9
Albion Park,2017,92.43333333
Albury,2017,93.1
Allambie Heights,2017,92
Alstonville,2017,95.95
Ambarvale,2017,92.55
Annandale,2017,95.15
Annangrove,2017,91.4
Appin,2017,92.9
Arcadia,2017,96.35
Ariah Park,2017,89.8
Armidale,2017,93.34285714
Arncliffe,2017,93.73333333
Ashbury,2017,95.4
Ashcroft,2017,94.4
Ashfield,2017,94.9
Ashmont,2017,92.2
Ashtonfield,2017,91.8
Auburn,2017,92.325
Austinmer,2017,95
Austral,2017,88.3
Avalon Beach,2017,94.15
Avoca Beach,2017,95.3
Awaba,2017,95.8
Balgowlah,2017,92.03333333
Balgownie,2017,93.4
Ballina,2017,93.1
Balmain,2017,93
Balmain East,2017,92.5
Balranald,2017,95.1
Bangalow,2017,94
Bangor,2017,91.8
Bankstown,2017,93.53333333
Banora Point,2017,90.75
Baradine,2017,97.7
Barden Ridge,2017,93.6
Bardia,2017,94.8
Bargo,2017,94.8
Barham,2017,87.5
Barnsley,2017,86
Barooga,2017,93.2
Barraba,2017,93.7
Barrack Heights,2017,92.6
Bass Hill,2017,93.7
Bateau Bay,2017,94
Bathurst,2017,95.2
Batlow,2017,96.4
Baulkham Hills,2017,94.56666667
Beacon Hill,2017,97.7
Beaumont Hills,2017,95.7
Beecroft,2017,91.7
Beelbangera,2017,95.7
Bega,2017,92.7
Bellambi,2017,91.3
Bellbird,2017,92.4
Bellevue Hill,2017,92.4
Bellingen,2017,93.4
Belmont,2017,92.5
Belmont North,2017,93.6
Belmore,2017,92.85
Belrose,2017,94.5
Bemboka,2017,90.2
Berala,2017,95.4
Beresfield,2017,90.8
Berkeley,2017,94.15
Berkeley Vale,2017,93.9
Bermagui,2017,90.6
Berowra,2017,96.3
Berowra Heights,2017,93.6
Berrima,2017,95.1
Berry,2017,94.4
Beverly Hills,2017,92.46666667
Bexhill,2017,92.9
Bexley,2017,90.125
Bidwill,2017,93.6
Bilpin,2017,90.2
Bingara,2017,74.7
Birrong,2017,92.8
Black Hill,2017,92.1
Blackalls Park,2017,94.3
Blackheath,2017,94.15
Blacksmiths,2017,94
Blacktown,2017,91.25714286
Blairmount,2017,88.4
Blakehurst,2017,92.1
Blaxland,2017,92.5
Blaxland East,2017,91.1
Blayney,2017,93.2
Bligh Park,2017,95.9
Boambee,2017,91.7
Bodalla,2017,95.1
Bogangar,2017,94.9
Bolwarra,2017,94.3
Bomaderry,2017,92.6
Bombala,2017,95.5
Bonalbo,2017,92.2
Bondi Beach,2017,95
Bonnet Bay,2017,94
Bonnyrigg,2017,93.2
Bonnyrigg Heights,2017,93.5
Boolaroo,2017,93.8
Boomerang Beach,2017,91.6
Booragul,2017,91
Booral,2017,95
Boorowa,2017,93.9
Boree Creek,2017,93.3
Bossley Park,2017,93.9
Botany,2017,94.05
Bourke,2017,94.2
Bowral,2017,93.05
Bowraville,2017,93.5
Bradbury,2017,91.5
Braidwood,2017,89.4
Branxton,2017,93.25
Brewarrina,2017,92.7
Brighton-Le-Sands,2017,93.9
Broadmeadow,2017,94.3
Broke,2017,92.7
Broken Hill,2017,93.78
Brooklyn,2017,90
Brookvale,2017,91.4
Broulee,2017,93.5
Brunswick Heads,2017,93.8
Budgewoi,2017,94.6
Bulli,2017,96.1
Bundanoon,2017,95.7
Bundarra,2017,92.1
Bundeena,2017,92.4
Bungendore,2017,92.9
Burren Junction,2017,94.9
Burringbar,2017,95.8
Burwood,2017,90.4
Busby,2017,95
Buxton,2017,91.3
Byron Bay,2017,93.06666667
Cabramatta,2017,85
Callala Bay,2017,91
Cambewarra,2017,95.5
Cambridge Park,2017,87.75
Camden,2017,90.85
Cammeray,2017,93.8
Campbelltown,2017,93.62857143
Campsie,2017,95.25
Candelo,2017,94.3
Canley Heights,2017,94.6
Canley Vale,2017,94.9
Canowindra,2017,92.5
Canterbury,2017,94.95
Captains Flat,2017,94.6
Cardiff,2017,94.15
Cardiff South,2017,97.3
Caringbah,2017,92.7
Carlingford,2017,91.7
Carlton,2017,95
Carnes Hill,2017,93.7
Carramar,2017,88
Carrington,2017,94.2
Cartwright,2017,93.4
Casino,2017,94.05
Castle Hill,2017,93.375
Castlereagh,2017,93.75
Casula,2017,94.2
Cattai,2017,89.6
Caves Beach,2017,92.3
Cecil Hills,2017,94.4
Central Mangrove,2017,95.6
Central Tilba,2017,94.5
Cessnock,2017,93.75
Charlestown,2017,94
Chatswood,2017,93.85
Chatsworth,2017,94.2
Cherrybrook,2017,89.63333333
Chester Hill,2017,93.5
Chippendale,2017,93.9
Chipping Norton,2017,94.2
Chisholm,2017,95.4
Chittaway Bay,2017,95.8
Claremont Meadows,2017,92.4
Clarence Town,2017,95.2
Claymore,2017,92.8
Clergate,2017,93.7
Clovelly,2017,93.1
Clunes,2017,94.4
Coal Point,2017,90.5
Cobar,2017,94.4
Cobargo,2017,93.4
Cobbitty,2017,92.65
Coffee Camp,2017,92.7
Coffs Harbour,2017,93.53333333
Coleambally,2017,92.65
Coledale,2017,94.5
Collarenebri,2017,94.5
Collaroy,2017,96.8
Collaroy Plateau,2017,96.15
Colo Vale,2017,93.6
Como,2017,92.1
Concord,2017,95
Condobolin,2017,93.7
Condong,2017,95.3
Coniston,2017,95.5
Coogee,2017,95.05
Coolah,2017,95
Coolamon,2017,95.3
Cooma,2017,93.5
Cooma North,2017,92.7
Coonabarabran,2017,91
Coonamble,2017,92.4
Coorabell,2017,95.1
Cooranbong,2017,93.5
Cootamundra,2017,94.3
Copacabana,2017,93.7
Copmanhurst,2017,93.8
Coraki,2017,91.7
Cordeaux Heights,2017,91.1
Corindi Beach,2017,91.1
Corowa,2017,94.8
Corrimal,2017,94.26666667
Coutts Crossing,2017,94.8
Cowan,2017,92.3
Cowra,2017,94.6
Cranebrook,2017,92.5
Crescent Head,2017,95.7
Cringila,2017,94.1
Cromer,2017,90.9
Cronulla,2017,93.925
Croydon,2017,92.4
Croydon Park,2017,92.3
Crystal Creek,2017,93.9
Cudal,2017,94.8
Culcairn,2017,94.73333333
Cumnock,2017,91.6
Cundletown,2017,95.85
Curlewis,2017,92.4
Currans Hill,2017,98
Daceyville,2017,92.6
Dapto,2017,92.6
Dareton,2017,91.1
Davidson,2017,92.4
Dean Park,2017,94.9
Dee Why,2017,84.4
Delegate,2017,93.6
Delungra,2017,92.9
Deniliquin,2017,93.6
Denman,2017,92.1
Dharruk,2017,95.5
Diamond Beach,2017,95.6
Doonside,2017,92.55
Dorrigo,2017,96.3
Double Bay,2017,93.6
Douglas Park,2017,94.3
Dover Heights,2017,81.8
Drummoyne,2017,93.6
Dubbo,2017,92.08333333
Dudley,2017,93.5
Dulwich Hill,2017,94.9
Dundas Valley,2017,92.1
Dunedoo,2017,98.1
Dungay,2017,96.1
Dungog,2017,91.1
Dunmore,2017,93.8
Dunoon,2017,93.3
Dural,2017,93.6
Duri,2017,93.4
Eagle Vale,2017,93.5
Earlwood,2017,93.075
East Lindfield,2017,94.5
East Lismore,2017,92.7
East Maitland,2017,91.25
Eastern Creek,2017,95.4
Eastlakes,2017,95.9
Eastwood,2017,94.025
Eden,2017,96.8
Edensor Park,2017,92.75
Edgeworth,2017,92.7
Edmondson Park,2017,95.6
Eglinton,2017,91.6
Elanora Heights,2017,89.5
Elderslie,2017,91.1
Eleebana,2017,95.9
Ellalong,2017,92.2
Emerton,2017,93.33333333
Emmaville,2017,95.4
Emu Plains,2017,92.675
Enfield,2017,94.2
Engadine,2017,93.3
Epping,2017,93.53333333
Erina,2017,91.75
Erina Heights,2017,93.9
Ermington,2017,93.6
Erskine Park,2017,93.7
Erskineville,2017,94.8
Eschol Park,2017,94.7
Ettalong Beach,2017,91.6
Eungella,2017,91.4
Exeter,2017,94.7
Fairfield,2017,94.26666667
Fairfield East,2017,93
Fairfield West,2017,90.3
Fairy Meadow,2017,92.6
Fassifern,2017,96.8
Faulconbridge,2017,93.7
Fennell Bay,2017,93.4
Fern Bay,2017,91.7
Five Dock,2017,96
Fletcher,2017,92.4
Forest Lodge,2017,93.5
Forestville,2017,94
Forster,2017,95.3
Frenchs Forest,2017,94.3
Freshwater,2017,95.7
Galston,2017,91.8
Ganmain,2017,92.8
Garden Suburb,2017,90.5
Georges Hall,2017,92.43333333
Gerringong,2017,95.2
Gilgandra,2017,95
Gillieston Heights,2017,94.4
Glebe,2017,93.2
Glenbrook,2017,93.7
Glendale,2017,90.7
Glenfield,2017,94.2
Glenhaven,2017,97.6
Glenmore Park,2017,93.06666667
Glenorie,2017,92.8
Glenreagh,2017,92.3
Glenwood,2017,92.15
Glossodia,2017,94.6
Gloucester,2017,94.5
Gol Gol,2017,92.1
Goolgowi,2017,94.9
Goonellabah,2017,92.73333333
Gordon,2017,94.25
Goulburn,2017,93.86666667
Goulburn North,2017,92.9
Grafton,2017,92.03333333
Granville,2017,93.06666667
Granville East,2017,90.2
Grays Point,2017,92.6
Green Point,2017,94.5
Green Valley,2017,93
Greenacre,2017,93.78
Greenwell Point,2017,93.5
Greenwich,2017,90
Grenfell,2017,95.1
Gresford,2017,94.1
Greta,2017,90.9
Greystanes,2017,94.23333333
Griffith,2017,92.6
Grose Vale,2017,93.7
Guildford,2017,93.85
Guildford West,2017,88.4
Gulargambone,2017,94.6
Gulgong,2017,94.7
Gulmarrad,2017,92.2
Gundagai,2017,94.4
Gundaroo,2017,90.3
Gunnedah,2017,93.9
Gunning,2017,94.4
Guyra,2017,87.8
Gwandalan,2017,94.4
Gwynneville,2017,94.15
Gymea,2017,93.55
Gymea Bay,2017,94.9
Haberfield,2017,91.75
Hamilton,2017,95.1
Hammondville,2017,91.4
Hanwood,2017,96.7
Harrington,2017,92
Harrington Park,2017,94.2
Harwood,2017,91.1
Hazelbrook,2017,91.4
Hebersham,2017,95.8
Helensburgh,2017,93.5
Henty,2017,92
Hillston,2017,94.8
Hinchinbrook,2017,93.1
Hinton,2017,91.6
Hobartville,2017,95.5
Holbrook,2017,89.55
Holgate,2017,91.9
Holsworthy,2017,92.8
Homebush,2017,88.3
Homebush West,2017,94.6
Hornsby,2017,93.3
Horsley,2017,92.1
Howlong,2017,91.2
Hoxton Park,2017,93.65
Hunters Hill,2017,95.15
Hurstville,2017,91.83333333
Huskisson,2017,93.4
Illawong,2017,95
Iluka,2017,92.2
Ingleburn,2017,94.66666667
Inverell,2017,93.6
Islington,2017,92.8
Jannali,2017,93.65
Jerilderie,2017,95.5
Jerrabomberra,2017,92.9
Jewells,2017,94.3
Jindabyne,2017,95.1
Jindera,2017,92.75
Junee,2017,93.7
Kahibah,2017,92.9
Kanahooka,2017,93.1
Kandos,2017,95.6
Karangi,2017,94.9
Kareela,2017,92.4
Karuah,2017,92.8
Katoomba,2017,92.03333333
Kearsley,2017,94.7
Keiraville,2017,93.4
Kellyville,2017,92.15
Kelso,2017,93.5
Kempsey,2017,93.9
Kendall,2017,94.8
Kensington,2017,94.4
Kenthurst,2017,94.6
Kiama,2017,93.5
Killara,2017,94.05
Killarney Heights,2017,92.3
Killarney Vale,2017,92.6
Kincumber,2017,92.8
Kings Langley,2017,92.5
Kingscliff,2017,91.2
Kingsgrove,2017,91.5
Kingswood,2017,94.05
Kirrawee,2017,92.7
Kirribilli,2017,93.1
Kitchener,2017,93
Kogarah,2017,93.5
Kootingal,2017,92.8
Korora,2017,94
Kotara,2017,95.9
Kulnura,2017,94.1
Kurnell,2017,92.7
Kurrajong,2017,94.325
Kurrajong Hills,2017,94.7
Kurri Kurri,2017,95.1
Kyogle,2017,93.2
Laguna,2017,93.5
Lake Albert,2017,92.5
Lake Cargelligo,2017,92.8
Lake Cathie,2017,91
Lake Heights,2017,94.5
Lake Illawarra,2017,92.5
Lake Munmorah,2017,93.75
Lakemba,2017,92.075
Lalor Park,2017,94.7
Lambton,2017,91.8
Lane Cove,2017,92.5
Largs,2017,87.5
Laurieton,2017,94.9
Lavington,2017,94.03333333
Lawson,2017,93.2
Leeton,2017,95.2
Leeville,2017,92
Leichhardt,2017,94.1
Lethbridge Park,2017,92
Leumeah,2017,93.3
Leura,2017,94.4
Lewisham,2017,96.4
Lidcombe,2017,94.5
Lightning Ridge,2017,81.6
Lilli Pilli,2017,92
Lindfield,2017,94.86666667
Lisarow,2017,92.25
Lismore,2017,95.05
Lithgow,2017,95.55
Liverpool,2017,94.25
Lochinvar,2017,92.2
Londonderry,2017,93.7
Long Flat,2017,95.7
Luddenham,2017,92.85
Lugarno,2017,88.7
Lurnea,2017,93.3
Macksville,2017,95.4
Maclean,2017,95.6
Macquarie Fields,2017,91.95
Maitland,2017,93.45
Malabar,2017,88.5
Manilla,2017,95
Manly,2017,92.8
Manly Vale,2017,95.35
Maraylya,2017,94.7
Marks Point,2017,94.1
Maroubra,2017,92.75
Marrickville,2017,90.475
Marsden Park,2017,95.9
Marulan,2017,93.6
Maryland,2017,90.1
Mascot,2017,94.1
Mathoura,2017,90.6
Matraville,2017,93.65
Mayfield,2017,93.2
Meadow Flat,2017,94.9
Meadowbank,2017,92.2
Medowie,2017,90.85
Menai,2017,93.7
Mendooran,2017,81.5
Menindee,2017,95.4
Merewether,2017,92.85
Merewether Beach,2017,96
Merewether Heights,2017,95.6
Merimbula,2017,91.1
Merriwa,2017,94.3
Merrylands,2017,93.4
Metford,2017,94.95
Middleton Grange,2017,95.9
Millers Forest,2017,92.9
Millfield,2017,95.1
Milperra,2017,91.7
Milton,2017,94.5
Minchinbury,2017,94.4
Minmi,2017,92.7
Minto,2017,92.93333333
Miranda,2017,93.1
Mittagong,2017,86.6
Moama,2017,93.25
Molong,2017,91.9
Mona Vale,2017,93.7
Moorebank,2017,94.1
Moree,2017,91.825
Morisset,2017,93.9
Mortdale,2017,95.3
Moruya,2017,95.6
Mosman,2017,93.3
Moss Vale,2017,91.7
Moulamein,2017,90.7
Mount Annan,2017,93.3
Mount Austin,2017,91.2
Mount Colah,2017,92.6
Mount Druitt,2017,91.32
Mount Keira,2017,94.2
Mount Kuring-Gai,2017,94.5
Mount Pleasant,2017,93.9
Mount Pritchard,2017,93.9
Mount Victoria,2017,92.9
Mudgee,2017,95.6
Mulbring,2017,96.1
Mungindi,2017,93
Murwillumbah,2017,88.1
Muswellbrook,2017,90.1
Narellan Vale,2017,94.4
Narrabeen,2017,93.6
Narrabri,2017,92.9
Narrandera,2017,95.8
Narromine,2017,92.8
Narwee,2017,95.7
Neutral Bay,2017,94.8
New Lambton,2017,93.15
Newcastle,2017,89
Newington,2017,94.8
Newtown,2017,93.96666667
Niagara Park,2017,95.4
Nords Wharf,2017,92.7
Normanhurst,2017,93.8
North Albury,2017,91.5
North Balgowlah,2017,95.1
North Casino,2017,94.7
North Curl Curl,2017,93.5
North Epping,2017,94
North Haven,2017,94.8
North Kellyville,2017,89.6
North Narrabeen,2017,93
North Nowra,2017,93.15
North Parramatta,2017,92.14
North Richmond,2017,92.7
North Rocks,2017,93.15
North Ryde,2017,93.725
North St Marys,2017,93.1
North Strathfield,2017,92.85
North Sydney,2017,93.5
North Turramurra,2017,93.5
Northbridge,2017,94.2
Northmead,2017,89.6
Nowra,2017,94.43333333
Nowra East,2017,91.1
Nundle,2017,95.4
Nyngan,2017,92.3
Oak Flats,2017,91.1
Oakdale,2017,93.8
Oakhurst,2017,95.6
Oakville,2017,93.8
Oatley,2017,92.45
Oberon,2017,92.3
Ocean Shores,2017,90.8
O'Connell,2017,94.7
Old Bar,2017,93.5
Oran Park,2017,91.9
Orange,2017,92.51111111
Orchard Hills,2017,89.625
Otford,2017,95.7
Oyster Bay,2017,91.1
Padstow,2017,90.2
Pagewood,2017,94.6
Pambula,2017,93.1
Pambula Beach,2017,96.5
Panania,2017,92.2
Parkes,2017,94.8
Parramatta,2017,94
Paterson,2017,93.3
Paxton,2017,93.4
Peak Hill,2017,89.4
Peakhurst,2017,94.05
Pelaw Main,2017,93.7
Pelican,2017,93.3
Pennant Hills,2017,94.9
Penrith,2017,93.23333333
Penshurst,2017,93.6
Perthville,2017,93.8
Petersham,2017,93
Picton,2017,94.43333333
Pitt Town,2017,96.3
Plumpton,2017,92.5
Point Clare,2017,92.1
Port Kembla,2017,90.6
Port Macquarie,2017,93.66
Potts Point,2017,92.5
Pottsville,2017,94.6
Prestons,2017,93
Pretty Beach,2017,93.5
Prospect,2017,90.4
Punchbowl,2017,93.4
Pymble,2017,92.175
Quakers Hill,2017,94.725
Queanbeyan,2017,94.38
Quirindi,2017,88
Raglan,2017,95.4
Ramsgate,2017,89
Randwick,2017,92.625
Rathmines,2017,92.1
Raymond Terrace,2017,93.73333333
Redhead,2017,92
Regents Park,2017,91.6
Regentville,2017,93.6
Revesby,2017,91.95
Richmond,2017,93.6
Riverstone,2017,94.25
Robertson,2017,92.5
Rockdale,2017,92.7
