School_Name,Suburb,Postcode,Type,Latitude,Longitude,School_Sector,Teaching_Staff,Total_Enrolments,Girls_Enrolments,Boys_Enrolments,Indigenous_Enrolments,Language_Background_Other_Than_English
Mowbray Public School,Lane Cove,2066,Primary,-33.8039,151.156,Government,34,636,320,316,0,55
Forestville Public School,Forestville,2087,Primary,-33.7616,151.213,Government,35,681,310,371,0,23
Manly Vale Public School,Manly Vale,2093,Primary,-33.7835,151.26,Government,24,521,254,267,1,27
Epping Heights Public School,Epping,2121,Primary,-33.7627,151.074,Government,25,551,270,281,0,77
Eastwood Heights Public School,Eastwood,2122,Primary,-33.7819,151.095,Government,27,523,250,273,1,69
Mount Kuring-gai Public School,Mount Kuring-Gai,2080,Primary,-33.6575,151.136,Government,7,180,95,85,1,23
Kent Road Public School,Eastwood,2122,Primary,-33.7874,151.109,Government,41,790,403,387,1,77
Truscott Street Public School,North Ryde,2113,Primary,-33.7941,151.131,Government,20,324,165,159,0,55
Epping North Public School,North Epping,2121,Primary,-33.7576,151.095,Government,22,477,233,244,1,41
Elanora Heights Public School,Elanora Heights,2101,Primary,-33.7037,151.285,Government,29,573,266,307,1,12
Cromer Public School,Cromer,2099,Primary,-33.738,151.275,Government,34,639,298,341,2,16
Wheeler Heights Public School,Collaroy Plateau,2097,Primary,-33.7278,151.285,Government,24,478,231,247,3,13
Ryde East Public School,North Ryde,2113,Primary,-33.8071,151.126,Government,34,552,260,292,1,43
Hornsby Heights Public School,Hornsby,2077,Primary,-33.6698,151.097,Government,21,459,222,237,1,23
Normanhurst West Public School,Thornleigh,2120,Primary,-33.7189,151.087,Government,24,519,243,276,0,35
Thornleigh West Public School,Thornleigh,2120,Primary,-33.7239,151.072,Government,32,618,287,331,0,31
West Pymble Public School,West Pymble,2073,Primary,-33.7639,151.124,Government,17,348,158,190,0,32
St Ives North Public School,St Ives,2075,Primary,-33.7187,151.164,Government,46,929,471,458,0,65
Roselea Public School,Carlingford,2118,Primary,-33.7654,151.053,Government,22,344,174,170,2,61
St Ives Public School,St Ives,2075,Primary,-33.7386,151.167,Government,21,522,281,241,0,45
Hornsby North Public School,Hornsby,2077,Primary,-33.6826,151.099,Government,44,949,472,477,0,70
Wakehurst Public School,Belrose,2085,Primary,-33.7394,151.218,Government,18,360,165,195,0,17
Killarney Heights Public School,Killarney Heights,2087,Primary,-33.7749,151.216,Government,38,678,341,337,0,61
St Ives Park Public School,St Ives,2075,Primary,-33.7241,151.179,Government,9,176,89,87,1,45
Murray Farm Public School,Carlingford,2118,Primary,-33.7661,151.04,Government,49,988,473,515,0,87
Mimosa Public School,Frenchs Forest,2086,Primary,-33.7433,151.206,Government,23,534,286,248,1,17
Wideview Public School,Berowra Heights,2082,Primary,-33.6085,151.142,Government,20,403,203,200,1,15
Kambora Public School,Davidson,2085,Primary,-33.7401,151.195,Government,12,223,87,136,0,19
John Purchase Public School,Cherrybrook,2126,Primary,-33.7142,151.045,Government,28,644,303,341,0,74
Hornsby South Public School,Hornsby,2077,Primary,-33.7135,151.095,Government,34,658,329,329,1,77
Corpus Christi Catholic Primary School,St Ives,2075,Primary,-33.7283,151.166,Catholic,15,166,83,83,0,29
Eastwood Public School,Eastwood,2122,Primary,-33.7927,151.078,Government,48,907,440,467,0,95
Mosman Public School,Mosman,2088,Primary,-33.8281,151.241,Government,33,668,325,343,0,37
Dundas Public School,Dundas,2117,Primary,-33.8044,151.036,Government,20,379,173,206,2,70
Ermington West Public School,Ermington,2115,Primary,-33.8059,151.058,Government,16,179,97,82,6,66
Galilee Catholic Primary School,Bondi Beach,2026,Primary,-33.8852,151.27522,Catholic,12,125,63,62,0,8
Newington Public School,Newington,2127,Primary,-33.8411,151.055,Government,43,872,415,457,0,80
Holy Cross Catholic Primary School,Woollahra,2022,Primary,-33.8899,151.252,Catholic,17,258,134,124,0,37
Holy Family Catholic Primary School,Lindfield,2070,Primary,-33.7735,151.166,Catholic,18,219,112,107,0,32
Rydalmere Public School,Rydalmere,2116,Primary,-33.8143,151.045,Government,12,145,60,85,4,65
Holy Spirit Catholic Primary School,North Ryde,2113,Primary,-33.7946,151.123,Catholic,31,452,230,222,1,48
Oatlands Public School,Oatlands,2117,Primary,-33.8,151.023,Government,16,217,97,120,1,60
Telopea Public School,Telopea,2117,Primary,-33.797,151.044,Government,7,80,36,44,1,62
Rydalmere East Public School,Ermington,2115,Primary,-33.8171,151.058,Government,12,200,87,113,7,50
Yates Avenue Public School,Dundas Valley,2117,Primary,-33.7956,151.058,Government,12,128,47,81,6,59
Maria Regina Catholic Primary School,Avalon Beach,2107,Primary,-33.6335,151.331,Catholic,14,123,63,60,0,13
McAuley Catholic Primary School,Rose Bay,2029,Primary,-33.8706,151.272,Catholic,13,110,61,49,0,30
Our Lady Help of Christians Catholic Primary School,Epping,2121,Primary,-33.7708,151.083,Catholic,14,114,58,56,0,67
Our Lady of Dolours Catholic Primary School,Chatswood,2067,Primary,-33.7946,151.184,Catholic,24,314,153,161,0,74
Our Lady of Good Counsel Catholic Primary School,Forestville,2087,Primary,-33.7602,151.221,Catholic,29,385,205,180,1,37
Our Lady of Perpetual Succour Catholic Primary School,West Pymble,2073,Primary,-33.761,151.13,Catholic,13,128,63,65,1,20
Our Lady of the Annunciation Catholic Primary School,Pagewood,2035,Primary,-33.9467,151.23,Catholic,13,190,105,85,2,44
Our Lady of the Rosary Catholic Primary School,Waitara,2077,Primary,-33.7137,151.104,Catholic,20,272,136,136,0,56
Our Lady of the Rosary Catholic Primary School,Kensington,2033,Primary,-33.9122,151.221,Catholic,23,422,214,208,1,54
Prouille Catholic Primary School,Wahroonga,2076,Primary,-33.7158,151.122,Catholic,17,203,98,105,0,23
Sacred Heart Catholic Primary School,Mosman,2088,Primary,-33.8246,151.236,Catholic,29,394,206,188,0,13
Sacred Heart Catholic Primary School,Mona Vale,2103,Primary,-33.67563,151.30115,Catholic,24,357,186,171,1,25
Sacred Heart Catholic Primary School,Mona Vale,2103,Primary,-33.67563,151.30115,Catholic,24,357,186,171,1,25
St Agatha's Catholic Primary School,Pennant Hills,2120,Primary,-33.7393,151.067,Catholic,22,292,157,135,1,33
St Andrew's Catholic Primary School,Malabar,2036,Primary,-33.9641,151.248,Catholic,22,385,204,181,10,19
St Anthony's Catholic Primary School,Marsfield,2122,Primary,-33.781,151.103,Catholic,22,278,142,136,0,56
St Anthony's Catholic Primary School,Clovelly,2031,Primary,-33.9105,151.259,Catholic,15,179,86,93,2,12
St Bernadette's Primary School,Dundas Valley,2117,Primary,-33.7909,151.051,Catholic,16,179,87,92,0,56
St Bernadette's Primary School,Dundas Valley,2117,Primary,-33.7909,151.051,Catholic,16,179,87,92,0,56
St Bernard's Catholic Primary School,Berowra Heights,2082,Primary,-33.6142,151.144,Catholic,14,179,94,85,0,15
St Bernard's Catholic Primary School,Botany,2019,Primary,-33.9455,151.2,Catholic,15,204,102,102,3,21
St Brendan's Catholic Primary School,Annandale,2038,Primary,-33.8842,151.171,Catholic,15,176,88,88,1,21
St Brigid's Catholic Primary School,Coogee,2034,Primary,-33.9199,151.253,Catholic,17,195,94,101,0,10
St Cecilia's Catholic Primary School,Balgowlah,2093,Primary,-33.7962,151.258,Catholic,20,281,152,129,0,17
St Columba's Catholic Primary School,Leichhardt North,2040,Primary,-33.8797,151.152,Catholic,14,174,94,80,2,18
St Fiacre's Catholic Primary School,Leichhardt,2040,Primary,-33.8848,151.162,Catholic,11,131,64,67,3,30
St Francis of Assisi Regional Catholic Primary School,Paddington,2021,Primary,-33.8885,151.231,Catholic,19,205,117,88,1,19
St Gerard's Catholic Primary School,Carlingford,2118,Primary,-33.7659,151.051,Catholic,21,288,139,149,0,29
St James Catholic Primary School,Glebe,2037,Primary,-33.8795,151.185,Catholic,17,175,88,87,4,33
St John the Apostle Catholic Primary School,Narraweena,2099,Primary,-33.7505,151.274,Catholic,23,299,147,152,0,29
St John the Baptist Catholic Primary School,Freshwater,2096,Primary,-33.7752,151.284,Catholic,19,246,135,111,0,10
St Joseph's Catholic Primary School,Narrabeen,2101,Primary,-33.713,151.3,Catholic,16,148,71,77,1,20
St Kevin's Catholic Primary School,Dee Why,2099,Primary,-33.7545,151.29,Catholic,16,168,83,85,0,68
St Kevin's Catholic Primary School,Eastwood,2122,Primary,-33.7895,151.079,Catholic,21,410,198,212,1,50
St Kieran's Catholic Primary School,Manly Vale,2093,Primary,-33.78191,151.267,Catholic,22,296,140,156,0,24
St Margaret Mary's Catholic Primary School,Randwick North,2031,Primary,-33.9053,151.245,Catholic,15,174,88,86,1,33
St Martin's Catholic Primary School,Davidson,2085,Primary,-33.7419,151.199,Catholic,11,81,34,47,0,30
St Mary's Catholic Primary School,Manly,2095,Primary,-33.795,151.286,Catholic,24,293,160,133,0,26
St Mary's Primary School,Rydalmere,2116,Primary,-33.8119,151.041,Catholic,23,358,173,185,1,44
St Michael's Catholic Primary School,Daceyville,2032,Primary,-33.9302,151.225,Catholic,22,314,152,162,2,26
St Michael's Catholic Primary School,Meadowbank,2114,Primary,-33.8123,151.087,Catholic,24,354,174,180,1,45
St Michael's Catholic Primary School,Stanmore,2048,Primary,-33.8924,151.165,Catholic,13,132,71,61,0,30
St Patrick's Catholic Primary School,Asquith,2077,Primary,-33.6855,151.112,Catholic,23,283,131,152,1,42
St Philip Neri Catholic Primary School,Northbridge,2063,Primary,-33.8123,151.214,Catholic,15,147,76,71,0,23
St Pius' Catholic Primary School,Enmore,2042,Primary,-33.9074,151.174,Catholic,14,139,72,67,6,37
St Rose Catholic Primary School,Collaroy Plateau,2097,Primary,-33.7269,151.286,Catholic,15,205,96,109,0,30
St Therese Catholic Primary School,Mascot,2020,Primary,-33.9258,151.201,Catholic,35,609,306,303,2,69
St Thomas' Catholic Primary School,Willoughby,2068,Primary,-33.796,151.2,Catholic,23,357,182,175,0,18
Villa Maria Catholic Primary School,Hunters Hill,2110,Primary,-33.8301,151.14,Catholic,27,401,211,190,1,30
Sacred Heart Catholic Primary School,Pymble,2073,Primary,-33.7402,151.138,Catholic,21,293,157,136,0,23
Blessed Sacrament Catholic Primary School,Clifton Gardens,2088,Primary,-33.8351,151.245,Catholic,14,140,78,62,1,22
Fr John Therry Catholic Primary School Balmain-Rozelle,Balmain,2041,Primary,-33.8589,151.184,Catholic,25,354,181,173,0,23
Our Lady of the Sacred Heart Catholic Primary School,Randwick,2031,Primary,-33.9157,151.242,Catholic,29,434,233,201,0,16
Our Lady Queen of Peace Catholic Primary School,Gladesville,2111,Primary,-33.8263,151.127,Catholic,17,140,64,76,0,54
St Agnes' Catholic Primary School,Matraville,2036,Primary,-33.9589,151.232,Catholic,13,167,88,79,9,49
St Aidan's Catholic Primary School,Maroubra Junction,2035,Primary,-33.9419,151.242,Catholic,17,207,107,100,4,43
St Charles Catholic Primary School,Ryde,2112,Primary,-33.8183,151.114,Catholic,32,515,264,251,0,45
St Joan of Arc Catholic Primary School,Haberfield,2045,Primary,-33.8794,151.14,Catholic,21,244,138,106,2,64
St Therese's Catholic Primary School,Denistone,2122,Primary,-33.7973,151.094,Catholic,14,142,75,67,1,49
St Mark's Catholic Primary School,Drummoyne,2047,Primary,-33.8556,151.154,Catholic,25,321,166,155,0,45
St Mary - St Joseph Catholic Primary School,Maroubra,2035,Primary,-33.9473,151.252,Catholic,22,352,178,174,4,13
St Mary's Catholic Primary School,North Sydney,2060,Primary,-33.8327,151.208,Catholic,30,438,230,208,0,14
St Mary's Catholic Primary School,Erskineville,2043,Primary,-33.9002,151.188,Catholic,13,202,109,93,4,44
St Michael's Catholic Primary School,Lane Cove,2066,Primary,-33.819,151.17,Catholic,34,522,248,274,0,15
St Mary's Cathedral College,Sydney,2000,Combined,-33.8713,151.214,Catholic,59,781,0,781,1,39
Our Lady of Mount Carmel Catholic Primary School,Waterloo,2017,Primary,-33.8989,151.204,Catholic,14,81,36,45,59,22
St Charles' Primary School,Waverley,2024,Primary,-33.8996,151.253,Catholic,23,321,165,156,2,13
St Pius X College,Chatswood,2067,Combined,-33.7948,151.183,Independent,89,1131,0,1131,0,10
Loreto Kirribilli,Kirribilli,2061,Combined,-33.8471,151.216,Independent,115,1104,1104,0,0,13
