ACARA_ID,School_Name,Suburb,ICSEA,,,,
41267,Collaroy Plateau Public School,Collaroy Plateau,1108,,,,
41049,St Peters Public School,St Peters,1107,,,,
43404,All Hallows Catholic Primary School,Five Dock,1106,,,,
41249,Belrose Public School,Belrose,1104,,,,
41263,Curl Curl North Public School,North Curl Curl,1104,,,,
43231,Maria Regina Catholic Primary School,Avalon Beach,1102,,,,
43401,St Pius' Catholic Primary School,Enmore,1102,,,,
43464,St Mary's Cathedral College,Sydney,1101,,,,
43379,St Bernard's Catholic Primary School,Botany,1100,,,,
41074,Pagewood Public School,Botany,1099,,,,
41242,Terrey Hills Public School,Terrey Hills,1099,,,,
41199,Berowra Public School,Berowra,1098,,,,
41102,Lewisham Public School,Lewisham,1098,,,,
41227,Mona Vale Public School,Mona Vale,1097,,,,
43250,St John the Apostle Catholic Primary School,Narraweena,1097,,,,
41251,Avalon Public School,Avalon Beach,1096,,,,
41062,South Coogee Public School,South Coogee,1096,,,,
41196,Asquith Public School,Asquith,1095,,,,
41285,Hornsby Heights Public School,Hornsby,1095,,,,
41239,Ryde Public School,Ryde,1091,,,,
41282,Cromer Public School,Cromer,1091,,,,
41230,Newport Public School,Newport,1090,,,,
41258,Mount Colah Public School,Mount Colah,1090,,,,
41300,Wideview Public School,Berowra Heights,1090,,,,
41268,Beacon Hill Public School,Beacon Hill,1088,,,,
41077,Tempe Public School,Tempe,1086,,,,
41283,Wheeler Heights Public School,Collaroy Plateau,1085,,,,
41280,Elanora Heights Public School,Elanora Heights,1084,,,,
41201,Brooklyn Public School,Brooklyn,1083,,,,
43425,Our Lady of the Annunciation Catholic Primary School,Pagewood,1083,,,,
43238,St Kevin's Catholic Primary School,Dee Why,1081,,,,
43839,Kesser Torah College,Dover Heights,1081,,,,
41017,Five Dock Public School,Five Dock,1079,,,,
41254,Melrose Park Public School,West Ryde,1079,,,,
43195,St Mary's Primary School,Rydalmere,1079,,,,
41033,Malabar Public School,Malabar,1077,,,,
41276,Mount Kuring-gai Public School,Mount Kuring-Gai,1076,,,,
41034,Maroubra Bay Public School,Maroubra,1075,,,,
41055,Ultimo Public School,Ultimo,1075,,,,
41696,Oatlands Public School,Oatlands,1075,,,,
43164,St Bernadette's Primary School,Dundas Valley,1074,,,,
43164,St Bernadette's Primary School,Dundas Valley,1074,,,,
43430,St Therese Catholic Primary School,Mascot,1074,,,,
41259,Narrabeen North Public School,North Narrabeen,1072,,,,
41690,Dundas Public School,Dundas,1070,,,,
43424,St Andrew's Catholic Primary School,Malabar,1064,,,,
41252,Narraweena Public School,Narraweena,1062,,,,
40998,Botany Public School,Botany,1060,,,,
41202,Brookvale Public School,Brookvale,1052,,,,
41228,Narrabeen Lakes Public School,Narrabeen,1052,,,,
41138,Gardeners Road Public School,Rosebery,1038,,,,
41109,Eastlakes Public School,Eastlakes,1034,,,,
41136,Daceyville Public School,Daceyville,1032,,,,
41184,Alexandria Park Community School,Alexandria,1028,,,,
41035,Mascot Public School,Mascot,1028,,,,
41205,Cowan Public School,Cowan,1027,,,,
40992,Banksmeadow Public School,Botany,1024,,,,
41012,Darlington Public School,Chippendale,1023,,,,
41139,Glebe Public School,Glebe,1017,,,,
41668,Rydalmere Public School,Rydalmere,1017,,,,
41206,Dee Why Public School,Dee Why,1014,,,,
41700,Ermington West Public School,Ermington,1014,,,,
41036,Matraville Public School,Matraville,1012,,,,
41697,Telopea Public School,Telopea,1011,,,,
41699,Rydalmere East Public School,Ermington,1007,,,,
41703,Yates Avenue Public School,Dundas Valley,1001,,,,
41087,Matraville Soldiers Settlement Public School,Matraville,950,,,,
41100,Chifley Public School,Malabar,932,,,,
43466,Our Lady of Mount Carmel Catholic Primary School,Waterloo,857,,,,
